	official_title	brief_title	drug	phases	nct_id
589	Phase IIa Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRz and 4-Signaling Domains in Patients With Chemotherapy Relapsed or Refractory CD19+ Lymphomas	Phase IIa Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRz and 4-Signaling Domains in Patients With Chemotherapy Relapsed or Refractory CD19+ Lymphomas	 	2	NCT02030834
590	A Randomized Phase IIb Placebo-controlled Study of R-ICE Chemotherapy With and Without SGN-40 (Anti-CD40 Humanized Monoclonal Antibody) for Second-line Treatment of Patients With Diffuse Large B-Cell Lymphoma (DLBCL)	A Randomized Phase IIb Placebo-Controlled Study of R-ICE Chemotherapy With and Without SGN-40 for Patients With DLBCL	SGN-40 | placebo | rituximab | etoposide | carboplatin | ifosfamide	2	NCT00529503
591	Phase 3 Study of 30Gy Versus 40Gy Involved-field Radiotherapy in Localized Diffuse Large B Cell Lymphoma Achieving CR After Chemotherapy	30Gy Versus 40Gy Involved-field Radiotherapy for Localized Diffuse Large B Cell Lymphoma Achieving CR After Chemotherapy	 	3	NCT01156259
592	A Phase IB/II Study Evaluating the Safety and Efficacy of Atezolizumab in Combination With Either Obinutuzumab Plus Bendamustine or Obinutuzumab Plus CHOP in Patients With Follicular Lymphoma or Rituximab Plus CHOP in Patients With Diffuse Large B-Cell Lymphoma	A Study of Atezolizumab in Combination With Either Obinutuzumab Plus Bendamustine or Obinutuzumab Plus (+) Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (CHOP) in Participants With Follicular Lymphoma (FL) or Rituximab + CHOP in Participants With Diffuse Large B-Cell Lymphoma (DLBCL)	Atezolizumab | Bendamustine | Cyclophosphamide | Doxorubicin | Obinutuzumab | Prednisone | Vincristine | Rituximab	1 2	NCT02596971
593	Collection of Blood, Bone Marrow, Tumor, or Tissue Samples From Patients With HIV Infection, KSHV Infection, Viral-Related Pre-Malignant Lesions, and/or Cancer	Specimen Collections From Patients With HIV Infection, KSHV Infection, Viral-Related Pre-malignant Lesions and Cancer	 		NCT00006518
594	A Retro-Prospective Observational Study of Ibrutinib Treatment of Chronic Lymphocytic Leukemia and Mantle-cell Lymphoma in Routine Clinical Practice	A Study of Ibrutinib in the Treatment of Chronic Lymphocytic Leukemia and Mantle-cell Lymphoma in Routine Clinical Practice	Ibrutinib		NCT03425591
595	Donor NK Cell Infusion for Progression/Recurrence of Underlying Malignant Disorders After HLA-haploidentical HCT - a Phase 1-2 Study	Donor Natural Killer Cells After Donor Stem Cell Transplant in Treating Patients With Advanced Cancer	 	1 2	NCT00823524
596	A Phase 1 Trial of SGN-CD70A in Patients With CD70-Positive Malignancies	Safety Study of SGN-CD70A in Cancer Patients	SGN-CD70A	1	NCT02216890
597	A Multicenter, Open, Phase II Study to Estimate the Activity and Safety of Caspofungin (CASP) in the First-Line Treatment of Probable and Proven Invasive Aspergillosis (IA) in Patients With Hematological Malignancies (HM) or Recipients of Autologous Haematopoietic Stem Cell Transplantation and Those With Allogeneic Haematopoietic Stem Cell Transplantation (HSCT)	Caspofungin Acetate in Treating Aspergillosis in Patients With Hematologic Cancer or in Patients Who Have Undergone a Stem Cell Transplant	caspofungin acetate	2	NCT00110045
598	A Phase I Study of Avelumab Plus Utomilumab-Based Combination Therapy for Relapsed/Refractory Diffuse Large B-Cell Lymphoma and Mantle Cell Lymphoma	Avelumab, Utomilumab, Rituximab, Ibrutinib, and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma or Mantle Cell Lymphoma	Avelumab | Carboplatin | Etoposide Phosphate | Ibrutinib | Ifosfamide	1	NCT03440567
599	CD19 Chimeric Antigen Receptor (CAR) and PD-1 Knockout Engineered T Cells for CD19 Positive Malignant B-cell Derived Leukemia and Lymphoma	CD19 CAR and PD-1 Knockout Engineered T Cells for CD19 Positive Malignant B-cell Derived Leukemia and Lymphoma	 	1	NCT03298828
600	Phase I/II Study to Evaluate Treatment of Relapsed or Refractory Leukemia and Lymphoma With Universal CRISPR-Cas9 Gene-Editing CAR-T Cells Targeting CD19 and CD20 or CD22	A Feasibility and Safety Study of Universal Dual Specificity CD19 and CD20 or CD22 CAR-T Cell Immunotherapy for Relapsed or Refractory Leukemia and Lymphoma	 	1 2	NCT03398967
601	A Phase 1 Study of TRU-016 in Combination With Rituximab and Bendamustine in Subjects With Relapsed Indolent Lymphoma	A Study of TRU-016 in Combination With Rituximab and Bendamustine in Subjects With Relapsed Indolent Lymphoma	TRU-016 | Bendamustine | Rituximab	1	NCT01317901
602	A Phase IB/II Study Evaluating The Safety, Tolerability and Anti-Tumor Activity of Polatuzumab Vedotin (DCDS4501A) in Combination With Rituximab (R) or Obinutuzumab (G) Plus Bendamustine (B) in Relapsed or Refractory Follicular or Diffuse Large B-Cell Lymphoma	A Study of Polatuzumab Vedotin (DCDS4501A) in Combination With Rituximab or Obinutuzumab Plus Bendamustine in Participants With Relapsed or Refractory Follicular or Diffuse Large B-Cell Lymphoma	Bendamustine | Obinutuzumab | Polatuzumab vedotin (Liquid) | Rituximab | Polatuzumab vedotin (Lyophilized)	1 2	NCT02257567
603	A Pilot Study of Irradiated HLA-Partially Matched Allogeneic Related Donor Lymphocytes in Conjunction With Rituximab for Selected Patients With CD20 + Malignancies	Irradiated Donor Lymphocytes and Rituximab in Treating Patients With Relapsed or Refractory Lymphoproliferative Disease	 	1	NCT00176475
604	A Phase 2 Open-Label Study to Determine the Effect of Blinatumomab on Minimal Residual Disease in Subjects With High-risk Diffuse Large B-cell Lymphoma Post-autologous Hematopoietic Stem-cell Transplantation.	Effect of Blinatumomab on MRD in DLBCL Subjects Post aHSCT	Blinatumomab	2	NCT03298412
605	A Phase II Study of Oral Clofarabine in Patients With Relapsed/Refractory Non-Hodgkin Lymphoma	Oral Clofarabine for Relapsed/Refractory Non-Hodgkin Lymphoma	Clofarabine	1 2	NCT00644189
606	Phase II Study of Rituximab Plus Pembrolizumab (MK-3475) in Subjects With Relapsed Follicular and Diffuse Large B-Cell Lymphoma	Rituximab and Pembrolizumab in Treating Patients With Relapsed or Refractory Follicular Lymphoma or Diffuse Large B Cell Lymphoma	 	2	NCT03401853
607	Prospective, Multi-center Phase I/II Trial of Lenalidomide and Dose-Adjusted EPOCH-R in MYC-Associated B-Cell Lymphomas	Lenalidomide and Combination Chemotherapy (DA-EPOCH-R) in Treating Patients With MYC-Associated B-Cell Lymphomas	lenalidomide | etoposide | prednisone | vincristine sulfate | doxorubicin hydrochloride | cyclophosphamide	1 2	NCT02213913
608	A Phase II Study Of Rituximab-CHOP With Pegylated Liposomal Doxorubicin In Patients Older Than 60 Years Of Age With Untreated Aggressive B-Cell Non-Hodgkin's Lymphoma	Rituximab and Combination Chemotherapy in Treating Older Patients With Diffuse Large B-Cell Lymphoma	Cyclophosphamide | Pegylated liposomal doxorubicin hydrochloride | Prednisone | Vincristine Sulfate	2	NCT00101010
609	A Multi-Center Study of Nonmyeloablative Conditioning With TBI or Fludarabine/TBI for HLA-matched Related Hematopoietic Cell Transplantation for Treatment of Hematologic Malignancies With Post Grafting Immunosuppression With Tacrolimus and Mycophenolate Mofetil	Tacrolimus and Mycophenolate Mofetil in Preventing Graft-Versus-Host Disease in Patients Who Have Undergone Total-Body Irradiation With or Without Fludarabine Phosphate Followed by Donor Peripheral Blood Stem Cell Transplant for Hematologic Cancer	fludarabine phosphate | mycophenolate mofetil | tacrolimus	2	NCT00089011
610	A Phase II Study of Allogeneic Hematopoietic Stem Cell Transplant for B-Cell Non-Hodgkin Lymphoma Using Zevalin, Fludarabine and Melphalan	Yttrium Y 90 Ibritumomab Tiuxetan, Rituximab, Indium In-111 Ibritumomab Tiuxetan, Fludarabine, Melphalan, and Donor Stem Cell Transplant in Treating Patients With B-Cell Non-Hodgkin Lymphoma	fludarabine phosphate | melphalan | sirolimus | tacrolimus	2	NCT00577278
611	An Open-Label, Phase 1 Study Of R-CVP Or R-GDP In Combination With Inotuzumab Ozogamicin In Subjects With CD22-Positive Non-Hodgkin's Lymphoma	Study Evaluating Chemotherapy in Combination With Inotuzumab Ozogamicin In Subjects With Non-Hodgkin's Lymphoma	inotuzumab ozogamicin+rituximab +cyclophosphamide+vincristine+prednisone | inotuzumab ozogamicin+rituximab+gemcitabine+cisplatinum+dexamethasone	1	NCT01055496
612	A Phase 2 Trial of MLN8237, an Oral Aurora A Kinase Inhibitor, in Adult Patients With Aggressive Non-Hodgkin's Lymphoma	Study of Alisertib (MLN8237) in Adults With Aggressive Non-Hodgkin's Lymphoma	Alisertib	2	NCT00807495
613	A Phase 2, Multicenter, Single-arm Study of Moxetumomab Pasudotox in Pediatric Subjects With Relapsed or Refractory Pediatric Acute Lymphoblastic Leukemia (pALL) or Lymphoblastic Lymphoma of B-cell Origin	Study in Pediatrics With Relapsed or Refractory Pediatric Acute Lymphoblastic Leukemia (pALL) or Lymphoblastic Lymphoma	Moxetumomab Pasudotox	2	NCT02227108
614	A Phase 1 Study to Assess Safety and Tolerability of REGN1979, an Anti-CD20 x Anti-CD3 Bispecific Monoclonal Antibody, and REGN2810, an Anti-Programmed Death-1 Monoclonal Antibody, in Patients With B-Cell Malignancies	Study of REGN2810 and REGN1979 in Patients With Lymphoma	REGN2810 | REGN1979	1	NCT02651662
615	A Phase 1b, Open-label, Multicenter Study of Urelumab (BMS-663513) in Combination With Rituximab in Subjects With Relapsed/Refractory B-cell Malignancies	Combination Study of Urelumab and Rituximab in Patients With B-cell Non-Hodgkins Lymphoma	 	1	NCT01775631
616	An Open Label, Multicenter, Exploratory Phase 2 Study to Evaluate the Efficacy and Safety of the Bispecific T-Cell Engager (BiTE®) Blinatumomab in Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma (DLBCL)	Clinical Study With Blinatumomab in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL)	Blinatumomab	2	NCT01741792
617	A Phase I Study of AC0010 in Patients With Relapsed or Refractory CLL/SLL, MCL, DLBCL and Other Non-Hodgkin B-Cell Lymphoma	A Phase I Study of AC0010 in Patients With CLL/ SLL, MCL, DLBCL and Other NHL	AC0010MA	1	NCT03060850
618	Phase III, Double-Blind, Randomized, Placebo-Controlled Trial of FavID® (Id/KLH) and GM-CSF Following CHOP/Rituximab as First-Line Therapy in Subjects With High-Intermediate and High-Risk Diffuse Large B-Cell Lymphoma	GM-CSF With or Without Vaccine Therapy After Combination Chemotherapy and Rituximab as First-Line Therapy in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma	autologous immunoglobulin idiotype-KLH conjugate vaccine | cyclophosphamide | doxorubicin hydrochloride | prednisone | rituximab | sargramostim | vincristine	3	NCT00324831
619	An Open-label, Multicenter, Phase 1/1b Dose Escalation Study Evaluating the Pharmacokinetics, Safety, Tolerability, and Preliminary Efficacy of DCDS0780A, Alone or in Combination With Rituximab, or Obinutuzumab, in Patients With Relapsed/Refractory B-Cell Non-Hodgkin's Lymphoma	A Study of Escalating Doses of DCDS0780A in Participants With Relapsed or Refractory B-Cell Non-Hodgkin's Lymphoma	DCDS0780A | Rituximab | Obinutuzumab	1	NCT02453087
620	An Open-label, Non-randomized Phase 2 Study of Ofatumomab (O) in Combination With ICE (Ifosfamide, Carboplatin, Etoposide)-Chemotherapy in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL)	Study of Ofatumomab in Combination With ICE-chemotherapy in Patients With Diffuse Large B-cell Lymphoma (DLBCL)	O-ICE (ofatumumab, Ifosfamide, Carboplatin, Etoposide)	2	NCT02412267
621	Multicentric Randomized Phase III Study Comparing High Doses of Chemotherapy With Rituximab Followed by Auto-transplant HPC Versus CHOP Plus Rituximab as First Line Therapy in High Risk Patients With DLBCL Non-Hodgkin's Lymphomas	Comparison of HD Chemotherapy Followed by Auto-transplant and R-CHOP in High Risk Patients With DLBCL.	Rituximab-HDS | Rituximab-CHOP	3	NCT00355199
622	A Prospective Multicenter Phase II Study of MabThera (Rituximab) Plus 2 Weekly CHOP Followed by Low Dose Total Body Irradiation in Elderly Patients With Diffuse Large B-Cell Lymphoma	Adjuvant Low Dose Total Body Irradiation in Elderly Patients With Diffuse Large B-Cell Lymphoma	 	2	NCT00834951
623	A Phase 1, Open-Label, Dose-Finding Study of INCB050465 in Combination With Investigator Choice of Rituximab, Bendamustine and Rituximab, or Ibrutinib in Participants With Previously Treated B-Cell Lymphoma (CITADEL-112)	INCB050465 in Combination With Rituximab, Bendamustine and Rituximab, or Ibrutinib in Participants With Previously Treated B-Cell Lymphoma (CITADEL-112)	INCB050465 | Rituximab | Bendamustine | Ibrutinib	1	NCT03424122
624	A Phase I Study Of G3139 Antisense Oligonucleotide (Oblimersen) In Combination With CHOP And Rituximab In Untreated Advanced Stage Diffuse Large B Cell Lymphoma	Oblimersen, Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma	cyclophosphamide | doxorubicin hydrochloride | prednisone | vincristine sulfate	1	NCT00070083
625	Campath® [Alemtuzumab] Dose Escalation, Low-Dose TBI and Fludarabine Followed by HLA Class I Mismatched Donor Stem Cell Transplantation for Patients With Hematologic Malignancies - A Multi-Center Trial	Alemtuzumab, Fludarabine Phosphate, and Low-Dose Total Body Irradiation Before Donor Stem Cell Transplantation in Treating Patients With Hematological Malignancies	fludarabine phosphate | mycophenolate mofetil | cyclosporine	2	NCT00040846
626	Multicentre, Prospective Study of First-line Antibiotic Therapy for Early-stage H. Pylori-Positive Gastric Pure (de Novo) Diffuse Large B-cell Lymphoma and Potential Predicting Factor for Treatment Outcome	First-line Antibiotic Therapy for Early-stage HP(+) Gastric Pure DLBCL	Lansoprazole, Amoxicillin, Clarithromycin, Metronidazole	2	NCT02388581
627	A Phase I/II Trial of Rituximab, Bendamustine, and Obatoclax in Patients With Relapsed or Refractory Indolent Non-Hodgkin's Lymphoma	Obatoclax Mesylate, Rituximab, and Bendamustine Hydrochloride in Treating Patients With Relapsed or Refractory Non-Hodgkin Lymphoma	bendamustine hydrochloride | obatoclax mesylate	1 2	NCT01238146
628	An Open Label Non-Randomized Phase 2 Study Evaluating SAR3419, an Anti-CD19 Antibody - Maytansine Conjugate, Administered as Single Agent by Intravenous Infusion to Patients With Relapsed or Refractory CD19+ Diffuse Large B-Cell Lymphoma	SAR3419 as Single Agent in Relapsed-Refractory Diffuse Large B-Cell Lymphoma (DLBCL) Patients	SAR3419	2	NCT01472887
629	Urinary Ratio of the Coproporphyrins Isomers I and III and Its Relationships With Methotrexate Elimination in Patients With a Lymphoid Malignancy	Coproporphyrine Isomers and Methotrexate Elimination	 		NCT00822432
630	R-CVP Followed by Rituximab Maintenance Therapy for Patients With Advanced Marginal Zone B-cell Lymphoma	Rituximab Maintenance Therapy for Marginal Zone B-cell Lymphoma (MZL)	rituximab	2	NCT01213095
631	An Open-Label, Multicenter, Two-Part, Phase 1 Study to Characterize the Effects of a Moderate CYP3A Inhibitor on the Pharmacokinetics of Tazemetostat (EPZ-6438) (Part A), the Effects of Tazemetostat on the Pharmacokinetics of CYP2C8 and CYP2C19 Substrates, and the Effect of Increased Gastric pH on the Pharmacokinetics of Tazemetostat (Part B) in Subjects With B-cell Lymphoma or Advanced Solid Tumors	Open-Label, Multicenter, Two-Part, Phase 1 Study to Characterize Effects of a Moderate CYP3A Inhibitor on PK of Tazemetostat, Effects of Tazemetostat on PK of CYP2C8 and CYP2C19 Substrates, and Effect of Increased Gastric pH on PK of Tazemetostat in B-cell Lymphoma or Advanced Solid Tumor Patients	Tazemetostat | Fluconazole | Omeprazole | Repaglinide	1	NCT03028103
632	Phase II Study of Gemcitabine in Patients With Advanced Stage Marginal Zone B-cell Lymphoma	Gemcitabine for Marginal Zone Lymphoma	gemcitabine	2	NCT00337259
633	Phase II Trial of Pentostatin, Cyclophosphamide, and Rituximab Followed by Consolidation With Lenalidomide for Previously Untreated B-Chronic Lymphocytic Leukemia (CLL) or Small Lymphocytic Lymphoma (SLL)	Rituximab, Pentostatin, Cyclophosphamide, and Lenalidomide in Treating Patients With Previously Untreated B-Cell Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma	Cyclophosphamide | Lenalidomide | Pentostatin	2	NCT00602836
634	A Phase I Study of PS-341 in Patients With Hematologic Malignancies	PS-341 in Treating Patients With Hematologic Cancer	bortezomib	1	NCT00006098
635	Immunomodulation by Ultraviolet B-Irradiation (UVB) to Facilitate Allogeneic Stem Cell Transplantation for Treatment of Hematologic Malignancies	Ultraviolet-B Light Therapy and Allogeneic Stem Cell Transplantation in Treating Patients With Hematologic Malignancies	cyclophosphamide | cyclosporine | fludarabine phosphate | methylprednisolone	1	NCT00068523
